Activity type;Duration;From;To;Comment
Housework;0,5;20 Jan 19:34;20 Jan 20:04;
Sport;3,1;20 Jan 15:37;20 Jan 18:41;
Music;0,3;20 Jan 15:21;20 Jan 15:37;
Housework;0,4;20 Jan 14:57;20 Jan 15:21;
Work;1,0;20 Jan 13:59;20 Jan 14:57;
Entertainment;0,8;20 Jan 13:14;20 Jan 13:59;
Walking;0,4;20 Jan 12:47;20 Jan 13:13;
Work;2,3;20 Jan 10:31;20 Jan 12:47;
Walking;0,4;20 Jan 10:08;20 Jan 10:31;
Work;2,0;20 Jan 08:09;20 Jan 10:08;
Housework;0,4;20 Jan 07:45;20 Jan 08:08;
Yoga;0,4;20 Jan 07:22;20 Jan 07:45;
Sport;1,1;20 Jan 06:17;20 Jan 07:22;
Coding;0,5;19 Jan 22:24;19 Jan 22:55;
Housework;0,3;19 Jan 21:52;19 Jan 22:10;
Yoga;0,2;19 Jan 21:43;19 Jan 21:52;
Coding;0,0;19 Jan 21:42;19 Jan 21:43;
Coding;0,6;19 Jan 20:00;19 Jan 20:38;
Housework;0,2;19 Jan 19:50;19 Jan 19:59;
Walking;0,7;19 Jan 18:59;19 Jan 19:42;
Entertainment;0,5;19 Jan 18:28;19 Jan 18:59;
Housework;0,7;19 Jan 17:46;19 Jan 18:28;
Work;0,9;19 Jan 14:41;19 Jan 15:33;
Entertainment;0,6;19 Jan 14:02;19 Jan 14:41;
Walking;0,4;19 Jan 13:25;19 Jan 13:51;
Work;1,8;19 Jan 11:37;19 Jan 13:25;
Walking;0,4;19 Jan 10:42;19 Jan 11:08;
Work;2,4;19 Jan 08:20;19 Jan 10:41;
Walking;0,3;19 Jan 08:00;19 Jan 08:20;
Work;0,1;19 Jan 07:53;19 Jan 08:00;
Housework;0,1;19 Jan 07:23;19 Jan 07:27;
Yoga;0,2;19 Jan 06:50;19 Jan 07:03;
Yoga;0,1;18 Jan 21:21;18 Jan 21:29;
Housework;0,2;18 Jan 18:58;18 Jan 19:07;
Sport;3,1;18 Jan 15:18;18 Jan 18:23;
Entertainment;0,8;18 Jan 14:31;18 Jan 15:18;
Housework;1,4;18 Jan 12:07;18 Jan 13:29;
Entertainment;0,7;18 Jan 11:22;18 Jan 12:06;
Sport;2,3;18 Jan 08:46;18 Jan 11:01;
Yoga;0,1;18 Jan 08:34;18 Jan 08:41;
Yoga;0,1;18 Jan 08:20;18 Jan 08:26;
Entertainment;0,2;18 Jan 00:00;18 Jan 00:11;
Housework;0,0;17 Jan 23:49;17 Jan 23:52;
Housework;0,0;17 Jan 23:47;17 Jan 23:48;
Yoga;0,1;17 Jan 23:35;17 Jan 23:43;
Sport;0,3;17 Jan 18:39;17 Jan 18:54;
Housework;0,1;17 Jan 18:36;17 Jan 18:39;
Entertainment;0,5;17 Jan 18:08;17 Jan 18:36;
Music;0,2;17 Jan 17:56;17 Jan 18:08;
Coding;0,3;17 Jan 17:36;17 Jan 17:56;
Entertainment;0,3;17 Jan 17:17;17 Jan 17:36;
Work;0,3;17 Jan 16:28;17 Jan 16:47;
Entertainment;0,5;17 Jan 15:56;17 Jan 16:28;
Walking;0,2;17 Jan 15:41;17 Jan 15:54;
Work;0,5;17 Jan 15:04;17 Jan 15:36;
Work;0,5;17 Jan 14:26;17 Jan 14:53;
Walking;0,2;17 Jan 14:13;17 Jan 14:26;
Work;0,7;17 Jan 13:31;17 Jan 14:12;
Walking;0,2;17 Jan 13:18;17 Jan 13:31;
Housework;0,3;17 Jan 13:03;17 Jan 13:18;
Entertainment;0,4;17 Jan 12:40;17 Jan 13:03;
Housework;0,9;17 Jan 11:44;17 Jan 12:40;
Sport;2,6;17 Jan 09:08;17 Jan 11:44;
Yoga;0,2;17 Jan 07:52;17 Jan 08:02;
Coding;0,9;16 Jan 22:33;16 Jan 23:29;
Yoga;0,1;16 Jan 22:16;16 Jan 22:23;
Entertainment;2,1;16 Jan 20:11;16 Jan 22:15;
Entertainment;0,7;16 Jan 19:22;16 Jan 20:01;
Read;0,6;16 Jan 18:46;16 Jan 19:22;
Entertainment;0,3;16 Jan 16:55;16 Jan 17:15;
Work;0,1;16 Jan 16:47;16 Jan 16:54;
Work;2,5;16 Jan 14:13;16 Jan 16:41;
Walking;0,3;16 Jan 13:56;16 Jan 14:13;
Work;0,5;16 Jan 13:26;16 Jan 13:56;
Walking;0,3;16 Jan 13:10;16 Jan 13:26;
Music;0,5;16 Jan 12:26;16 Jan 12:57;
Housework;0,6;16 Jan 11:53;16 Jan 12:26;
Entertainment;0,6;16 Jan 11:16;16 Jan 11:53;
Walking;0,3;16 Jan 10:57;16 Jan 11:16;
Housework;0,3;16 Jan 10:41;16 Jan 10:57;
Entertainment;0,8;16 Jan 09:56;16 Jan 10:41;
Sport;0,5;16 Jan 09:27;16 Jan 09:56;
Yoga;0,2;16 Jan 09:13;16 Jan 09:27;
Sport;0,0;16 Jan 09:12;16 Jan 09:12;
Entertainment;0,1;16 Jan 09:05;16 Jan 09:11;
Yoga;0,1;15 Jan 22:40;15 Jan 22:49;
Coding;0,5;15 Jan 21:56;15 Jan 22:28;
Housework;0,2;15 Jan 21:42;15 Jan 21:55;
Housework;1,0;15 Jan 19:10;15 Jan 20:12;
Entertainment;0,3;15 Jan 18:52;15 Jan 19:10;
Housework;0,6;15 Jan 18:16;15 Jan 18:52;
Music;0,7;15 Jan 17:24;15 Jan 18:04;
Housework;0,3;15 Jan 17:08;15 Jan 17:24;
Entertainment;1,4;15 Jan 15:45;15 Jan 17:07;
Housework;0,1;15 Jan 15:39;15 Jan 15:45;
Sport;1,4;15 Jan 14:17;15 Jan 15:39;
Work;0,2;15 Jan 13:56;15 Jan 14:08;
Work;2,2;15 Jan 11:38;15 Jan 13:52;
Walking;0,5;15 Jan 11:11;15 Jan 11:38;
Walking;0,1;15 Jan 10:58;15 Jan 11:06;
Work;2,6;15 Jan 08:24;15 Jan 10:58;
Housework;0,3;15 Jan 08:05;15 Jan 08:21;
Yoga;0,1;15 Jan 07:57;15 Jan 08:05;
Housework;0,1;14 Jan 22:20;14 Jan 22:28;
Yoga;0,2;14 Jan 22:08;14 Jan 22:20;
Entertainment;2,1;14 Jan 18:54;14 Jan 21:00;
Entertainment;0,3;14 Jan 18:34;14 Jan 18:49;
Housework;0,7;14 Jan 17:49;14 Jan 18:34;
Work;0,3;14 Jan 17:22;14 Jan 17:38;
Work;0,2;14 Jan 17:01;14 Jan 17:15;
Sport;0,4;14 Jan 16:36;14 Jan 17:00;
Work;0,4;14 Jan 16:04;14 Jan 16:31;
Sport;1,8;14 Jan 14:19;14 Jan 16:04;
Work;1,0;14 Jan 13:22;14 Jan 14:19;
Housework;0,2;14 Jan 13:11;14 Jan 13:22;
Entertainment;1,3;14 Jan 11:51;14 Jan 13:11;
Work;0,9;14 Jan 10:58;14 Jan 11:51;
Housework;0,1;14 Jan 10:50;14 Jan 10:58;
Read;0,6;14 Jan 10:11;14 Jan 10:50;
Sport;1,4;14 Jan 08:21;14 Jan 09:45;
Entertainment;0,3;14 Jan 08:00;14 Jan 08:21;
Yoga;0,3;14 Jan 07:33;14 Jan 07:51;
Housework;0,2;13 Jan 22:11;13 Jan 22:25;
Yoga;0,1;13 Jan 22:02;13 Jan 22:10;
Housework;0,1;13 Jan 21:58;13 Jan 22:02;
Entertainment;2,6;13 Jan 19:22;13 Jan 21:58;
Walking;0,4;13 Jan 17:24;13 Jan 17:46;
Coding;0,9;13 Jan 16:20;13 Jan 17:14;
Entertainment;0,5;13 Jan 15:41;13 Jan 16:12;
Housework;0,3;13 Jan 15:21;13 Jan 15:41;
Entertainment;0,4;13 Jan 14:55;13 Jan 15:21;
Work;3,0;13 Jan 11:40;13 Jan 14:43;
Walking;0,5;13 Jan 11:06;13 Jan 11:34;
Work;2,6;13 Jan 08:32;13 Jan 11:06;
Walking;0,6;13 Jan 07:58;13 Jan 08:32;
Housework;0,3;13 Jan 07:41;13 Jan 07:58;
Yoga;0,1;13 Jan 07:33;13 Jan 07:40;
Sport;1,1;13 Jan 06:01;13 Jan 07:10;
Housework;0,3;12 Jan 21:39;12 Jan 21:57;
Yoga;0,2;12 Jan 21:30;12 Jan 21:39;
Work;0,3;12 Jan 21:10;12 Jan 21:26;
Coding;0,0;12 Jan 21:08;12 Jan 21:10;
Entertainment;0,4;12 Jan 20:43;12 Jan 21:08;
Music;0,6;12 Jan 19:58;12 Jan 20:34;
Entertainment;0,7;12 Jan 19:15;12 Jan 19:58;
Walking;0,5;12 Jan 18:46;12 Jan 19:14;
Entertainment;0,5;12 Jan 18:15;12 Jan 18:45;
Housework;0,1;12 Jan 18:11;12 Jan 18:15;
Housework;0,4;12 Jan 17:45;12 Jan 18:11;
Housework;0,2;12 Jan 15:18;12 Jan 15:31;
Entertainment;0,7;12 Jan 14:38;12 Jan 15:18;
Walking;0,2;12 Jan 14:27;12 Jan 14:38;
Work;1,2;12 Jan 13:13;12 Jan 14:27;
Walking;0,1;12 Jan 13:07;12 Jan 13:13;
Work;3,8;12 Jan 09:07;12 Jan 12:56;
Walking;0,5;12 Jan 08:39;12 Jan 09:07;
Yoga;0,3;12 Jan 07:56;12 Jan 08:12;
Entertainment;0,3;11 Jan 22:51;11 Jan 23:10;
Yoga;0,1;11 Jan 22:34;11 Jan 22:43;
Housework;0,2;11 Jan 22:23;11 Jan 22:34;
Walking;0,1;11 Jan 22:17;11 Jan 22:23;
Entertainment;1,1;11 Jan 21:06;11 Jan 22:11;
Housework;0,6;11 Jan 17:10;11 Jan 17:47;
Walking;0,8;11 Jan 16:22;11 Jan 17:10;
Coding;0,2;11 Jan 16:02;11 Jan 16:16;
Sport;1,9;11 Jan 12:44;11 Jan 14:36;
Yoga;0,1;10 Jan 17:36;10 Jan 17:44;
Housework;0,5;10 Jan 14:36;10 Jan 15:08;
Entertainment;1,3;10 Jan 12:56;10 Jan 14:16;
Housework;0,3;10 Jan 12:37;10 Jan 12:56;
Coding;0,9;10 Jan 11:30;10 Jan 12:26;
Sport;0,8;10 Jan 10:41;10 Jan 11:30;
Coding;0,2;10 Jan 10:27;10 Jan 10:39;
Entertainment;0,8;10 Jan 09:33;10 Jan 10:19;
Yoga;0,2;10 Jan 09:21;10 Jan 09:33;
Yoga;0,1;09 Jan 22:23;09 Jan 22:30;
Coding;0,4;09 Jan 21:43;09 Jan 22:06;
Coding;0,6;09 Jan 14:11;09 Jan 14:46;
Housework;1,0;09 Jan 13:14;09 Jan 14:11;
Housework;0,4;09 Jan 12:46;09 Jan 13:11;
Entertainment;0,5;09 Jan 12:13;09 Jan 12:46;
Housework;1,0;09 Jan 11:13;09 Jan 12:13;
Coding;0,2;09 Jan 10:59;09 Jan 11:13;
Coding;0,0;09 Jan 10:58;09 Jan 10:59;
Housework;0,1;09 Jan 10:54;09 Jan 10:58;
Entertainment;0,2;09 Jan 10:40;09 Jan 10:54;
Housework;0,3;09 Jan 10:24;09 Jan 10:40;
Sport;0,2;09 Jan 10:14;09 Jan 10:24;
Sport;0,8;09 Jan 09:19;09 Jan 10:07;
Yoga;0,2;09 Jan 09:04;09 Jan 09:17;
Housework;0,0;09 Jan 09:01;09 Jan 09:04;
Coding;0,2;08 Jan 22:24;08 Jan 22:38;
Housework;0,2;08 Jan 22:13;08 Jan 22:24;
Yoga;0,2;08 Jan 22:04;08 Jan 22:13;
Housework;0,8;08 Jan 20:25;08 Jan 21:13;
Entertainment;0,4;08 Jan 19:59;08 Jan 20:25;
Housework;0,0;08 Jan 19:51;08 Jan 19:53;
Entertainment;0,9;08 Jan 17:19;08 Jan 18:11;
Work;1,2;08 Jan 15:19;08 Jan 16:30;
Work;3,7;08 Jan 11:21;08 Jan 15:04;
Work;1,0;08 Jan 10:22;08 Jan 11:21;
Work;1,2;08 Jan 09:12;08 Jan 10:22;
Yoga;0,3;08 Jan 07:44;08 Jan 08:04;
Sport;0,8;08 Jan 06:48;08 Jan 07:34;
Read;0,2;07 Jan 22:33;07 Jan 22:43;
Read;0,2;07 Jan 22:17;07 Jan 22:30;
Yoga;0,2;07 Jan 21:42;07 Jan 21:55;
Internet;0,4;07 Jan 21:21;07 Jan 21:42;
Housework;0,4;07 Jan 20:55;07 Jan 21:21;
Music;0,6;07 Jan 19:36;07 Jan 20:13;
Housework;0,2;07 Jan 19:24;07 Jan 19:36;
Coding;0,3;07 Jan 19:03;07 Jan 19:24;
Entertainment;0,5;07 Jan 18:35;07 Jan 19:03;
Entertainment;1,3;07 Jan 16:12;07 Jan 17:27;
Work;0,8;07 Jan 15:16;07 Jan 16:06;
Read;0,2;07 Jan 14:59;07 Jan 15:13;
Work;3,1;07 Jan 11:54;07 Jan 14:59;
Yoga;0,3;07 Jan 10:53;07 Jan 11:11;
Housework;0,2;07 Jan 10:38;07 Jan 10:49;
Work;0,8;07 Jan 09:47;07 Jan 10:35;
Sport;1,7;07 Jan 08:02;07 Jan 09:47;
Yoga;0,2;06 Jan 17:56;06 Jan 18:08;
Read;0,1;06 Jan 17:48;06 Jan 17:56;
Housework;0,3;06 Jan 17:26;06 Jan 17:44;
Entertainment;0,7;06 Jan 16:46;06 Jan 17:26;
Housework;0,5;06 Jan 16:19;06 Jan 16:46;
Sport;0,9;06 Jan 15:27;06 Jan 16:19;
Housework;0,9;06 Jan 14:33;06 Jan 15:27;
Work;0,3;06 Jan 14:14;06 Jan 14:31;
Entertainment;0,6;06 Jan 13:35;06 Jan 14:13;
Sport;0,8;06 Jan 12:45;06 Jan 13:34;
Work;1,0;06 Jan 11:31;06 Jan 12:31;
Yoga;0,1;06 Jan 10:57;06 Jan 11:05;
Work;0,1;06 Jan 10:51;06 Jan 10:56;
Entertainment;1,5;06 Jan 09:23;06 Jan 10:51;
Read;0,4;06 Jan 08:01;06 Jan 08:23;
Read;0,7;05 Jan 21:57;05 Jan 22:36;
Housework;0,1;05 Jan 21:51;05 Jan 21:57;
Read;1,1;05 Jan 20:47;05 Jan 21:51;
Read;0,2;05 Jan 20:01;05 Jan 20:12;
Internet;0,2;05 Jan 19:48;05 Jan 20:01;
Coding;0,5;05 Jan 18:07;05 Jan 18:40;
Housework;0,2;05 Jan 17:57;05 Jan 18:07;
Housework;0,1;05 Jan 17:23;05 Jan 17:32;
Entertainment;1,9;05 Jan 14:16;05 Jan 16:07;
Work;0,4;05 Jan 13:22;05 Jan 13:48;
Work;4,1;05 Jan 09:07;05 Jan 13:10;
Read;0,2;05 Jan 08:53;05 Jan 09:07;
Work;0,3;05 Jan 08:36;05 Jan 08:53;
Housework;0,4;05 Jan 08:13;05 Jan 08:36;
Yoga;0,1;05 Jan 08:05;05 Jan 08:13;
Housework;0,1;04 Jan 20:53;04 Jan 21:00;
Entertainment;1,8;04 Jan 15:56;04 Jan 17:42;
Housework;0,3;04 Jan 13:18;04 Jan 13:35;
Read;0,1;04 Jan 12:36;04 Jan 12:40;
Sport;2,1;04 Jan 10:27;04 Jan 12:35;
Yoga;0,2;04 Jan 09:19;04 Jan 09:28;
Housework;0,1;03 Jan 23:53;03 Jan 23:56;
Entertainment;0,4;03 Jan 23:12;03 Jan 23:38;
Work;0,7;03 Jan 22:33;03 Jan 23:12;
Work;0,1;03 Jan 16:16;03 Jan 16:23;
Coding;0,5;03 Jan 14:49;03 Jan 15:18;
Housework;0,6;03 Jan 13:58;03 Jan 14:37;
Housework;0,9;03 Jan 13:04;03 Jan 13:57;
Housework;0,2;03 Jan 12:55;03 Jan 13:04;
Sport;3,5;03 Jan 09:25;03 Jan 12:54;
Housework;0,3;03 Jan 09:08;03 Jan 09:25;
Yoga;0,2;03 Jan 08:52;03 Jan 09:07;
Read;0,2;03 Jan 08:39;03 Jan 08:52;
Entertainment;1,6;03 Jan 06:47;03 Jan 08:23;
Yoga;0,2;03 Jan 06:13;03 Jan 06:27;
Housework;0,0;03 Jan 06:09;03 Jan 06:11;
Housework;0,5;02 Jan 22:39;02 Jan 23:09;
Entertainment;0,3;02 Jan 22:21;02 Jan 22:39;
Housework;0,6;02 Jan 21:46;02 Jan 22:21;
Music;0,5;02 Jan 21:15;02 Jan 21:42;
Coding;0,8;02 Jan 20:24;02 Jan 21:15;
Music;0,1;02 Jan 20:18;02 Jan 20:24;
Entertainment;0,9;02 Jan 19:22;02 Jan 20:18;
Entertainment;2,2;02 Jan 16:47;02 Jan 19:01;
Sport;1,3;02 Jan 15:27;02 Jan 16:47;
Entertainment;1,9;02 Jan 13:31;02 Jan 15:27;
Housework;0,1;02 Jan 13:23;02 Jan 13:31;
Sport;3,0;02 Jan 09:59;02 Jan 13:02;
Housework;0,1;02 Jan 09:02;02 Jan 09:07;
Yoga;0,1;02 Jan 08:18;02 Jan 08:27;
Music;0,1;31 Dec 15:49;31 Dec 15:54;
Yoga;0,0;31 Dec 15:44;31 Dec 15:47;
Music;0,5;31 Dec 15:07;31 Dec 15:35;
Work;0,4;31 Dec 14:45;31 Dec 15:07;
Entertainment;0,5;31 Dec 14:17;31 Dec 14:45;
Work;0,4;31 Dec 13:55;31 Dec 14:17;
Music;0,1;31 Dec 13:48;31 Dec 13:53;
Housework;1,4;31 Dec 12:25;31 Dec 13:48;
Coding;0,2;31 Dec 10:26;31 Dec 10:41;
Housework;0,1;31 Dec 10:20;31 Dec 10:25;
Entertainment;0,8;31 Dec 09:33;31 Dec 10:20;
Sport;0,9;31 Dec 08:35;31 Dec 09:27;
Yoga;0,2;31 Dec 08:21;31 Dec 08:34;
Housework;0,3;30 Dec 22:06;30 Dec 22:24;
Entertainment;0,6;30 Dec 21:29;30 Dec 22:06;
Coding;0,7;30 Dec 19:22;30 Dec 20:01;
Coding;1,1;30 Dec 18:05;30 Dec 19:09;
Entertainment;0,9;30 Dec 17:09;30 Dec 18:05;
Housework;0,8;30 Dec 16:18;30 Dec 17:07;
Read;1,4;30 Dec 13:52;30 Dec 15:17;
Entertainment;0,5;30 Dec 13:22;30 Dec 13:51;
Sport;2,9;30 Dec 10:27;30 Dec 13:22;
Housework;0,3;30 Dec 10:12;30 Dec 10:27;
Housework;0,4;30 Dec 09:20;30 Dec 09:42;
Sport;0,2;30 Dec 08:55;30 Dec 09:08;
Yoga;0,2;30 Dec 06:41;30 Dec 06:50;
Housework;0,2;30 Dec 06:27;30 Dec 06:40;
Read;0,1;29 Dec 23:12;29 Dec 23:18;
Housework;0,6;29 Dec 22:30;29 Dec 23:07;
Coding;0,6;29 Dec 21:52;29 Dec 22:28;
Read;0,2;29 Dec 21:37;29 Dec 21:52;
Housework;0,2;29 Dec 21:27;29 Dec 21:37;
Coding;0,2;29 Dec 20:59;29 Dec 21:14;
Entertainment;2,1;29 Dec 15:19;29 Dec 17:26;
Housework;0,1;29 Dec 12:51;29 Dec 12:56;
Music;0,1;29 Dec 12:42;29 Dec 12:51;
Housework;0,2;29 Dec 12:28;29 Dec 12:42;
Music;0,5;29 Dec 11:56;29 Dec 12:28;
Sport;0,7;29 Dec 10:41;29 Dec 11:25;
Entertainment;0,6;29 Dec 09:54;29 Dec 10:28;
Read;0,1;29 Dec 09:47;29 Dec 09:54;
Read;0,2;29 Dec 09:15;29 Dec 09:28;
Music;0,2;29 Dec 08:37;29 Dec 08:50;
Entertainment;1,0;29 Dec 07:39;29 Dec 08:37;
Yoga;0,2;29 Dec 07:25;29 Dec 07:37;
Entertainment;0,4;29 Dec 07:02;29 Dec 07:25;
Read;0,7;28 Dec 22:32;28 Dec 23:12;
Housework;0,3;28 Dec 21:56;28 Dec 22:11;
Entertainment;0,6;28 Dec 21:21;28 Dec 21:56;
Housework;0,2;28 Dec 21:08;28 Dec 21:21;
Coding;0,1;28 Dec 17:53;28 Dec 18:00;
Entertainment;0,5;28 Dec 17:20;28 Dec 17:53;
Housework;0,2;28 Dec 17:10;28 Dec 17:20;
Entertainment;0,2;28 Dec 16:56;28 Dec 17:10;
Sport;3,0;28 Dec 12:30;28 Dec 15:32;
Music;0,5;28 Dec 12:01;28 Dec 12:30;
Entertainment;0,4;28 Dec 11:36;28 Dec 12:01;
Music;0,2;28 Dec 11:25;28 Dec 11:36;
Read;0,2;28 Dec 11:11;28 Dec 11:23;
Entertainment;0,7;28 Dec 10:31;28 Dec 11:11;
Work;0,1;28 Dec 10:09;28 Dec 10:14;
Sport;0,1;28 Dec 10:06;28 Dec 10:09;
Work;0,1;28 Dec 09:59;28 Dec 10:06;
Housework;1,2;28 Dec 08:46;28 Dec 09:59;
Yoga;0,2;28 Dec 08:21;28 Dec 08:32;
Housework;0,2;28 Dec 08:01;28 Dec 08:11;
Entertainment;0,4;27 Dec 22:58;27 Dec 23:21;
Housework;0,2;27 Dec 22:47;27 Dec 22:58;
Housework;0,5;27 Dec 21:57;27 Dec 22:27;
Yoga;0,1;27 Dec 21:48;27 Dec 21:57;
Entertainment;0,6;27 Dec 21:10;27 Dec 21:48;
Housework;0,2;27 Dec 21:00;27 Dec 21:09;
Entertainment;0,4;27 Dec 20:33;27 Dec 21:00;
Coding;0,4;26 Dec 13:23;26 Dec 13:47;
Entertainment;0,2;26 Dec 13:10;26 Dec 13:23;
Housework;0,6;26 Dec 12:11;26 Dec 12:46;
Read;0,2;26 Dec 11:57;26 Dec 12:11;
Internet;0,6;26 Dec 11:16;26 Dec 11:51;
Read;0,2;25 Dec 10:35;25 Dec 10:48;
Housework;0,0;25 Dec 10:31;25 Dec 10:33;
Read;0,6;25 Dec 09:56;25 Dec 10:31;
Sport;0,6;25 Dec 09:15;25 Dec 09:53;
Read;0,4;24 Dec 17:37;24 Dec 17:59;
Coding;0,7;24 Dec 16:54;24 Dec 17:35;
Sport;1,4;24 Dec 14:52;24 Dec 16:16;
Read;0,7;24 Dec 14:08;24 Dec 14:52;
Coding;0,8;24 Dec 13:11;24 Dec 13:59;
Housework;0,7;24 Dec 12:19;24 Dec 13:00;
Sport;2,7;24 Dec 09:26;24 Dec 12:10;
Internet;0,7;24 Dec 08:47;24 Dec 09:26;
Housework;0,2;24 Dec 08:33;24 Dec 08:47;
Yoga;0,2;24 Dec 08:19;24 Dec 08:33;
Entertainment;0,7;24 Dec 07:38;24 Dec 08:19;
Read;0,1;24 Dec 07:30;24 Dec 07:37;
Housework;0,3;23 Dec 18:57;23 Dec 19:13;
Housework;0,6;23 Dec 18:04;23 Dec 18:37;
Housework;1,1;23 Dec 16:45;23 Dec 17:51;
Work;1,3;23 Dec 15:25;23 Dec 16:45;
Entertainment;0,5;23 Dec 14:52;23 Dec 15:25;
Work;3,4;23 Dec 11:27;23 Dec 14:52;
Sport;3,0;23 Dec 08:29;23 Dec 11:27;
Housework;0,3;23 Dec 08:09;23 Dec 08:29;
Yoga;0,3;23 Dec 07:48;23 Dec 08:07;
Internet;0,2;23 Dec 07:34;23 Dec 07:48;
Housework;0,2;23 Dec 07:20;23 Dec 07:32;
Housework;0,4;22 Dec 18:40;22 Dec 19:07;
Entertainment;0,9;22 Dec 17:46;22 Dec 18:40;
Sport;2,3;22 Dec 15:30;22 Dec 17:46;
Housework;0,1;22 Dec 15:24;22 Dec 15:30;
Entertainment;0,3;22 Dec 15:04;22 Dec 15:24;
Housework;0,0;22 Dec 15:02;22 Dec 15:04;
Coding;1,2;22 Dec 13:52;22 Dec 15:01;
Entertainment;0,7;22 Dec 13:10;22 Dec 13:51;
Housework;0,1;22 Dec 13:06;22 Dec 13:10;
Housework;0,6;22 Dec 12:29;22 Dec 13:05;
Sport;3,2;22 Dec 09:18;22 Dec 12:29;
Yoga;0,3;22 Dec 08:45;22 Dec 09:05;
Internet;0,4;22 Dec 08:21;22 Dec 08:45;
Housework;0,0;22 Dec 08:16;22 Dec 08:19;
Read;0,1;21 Dec 21:54;21 Dec 22:01;
Housework;0,1;21 Dec 19:46;21 Dec 19:54;
Housework;0,3;21 Dec 19:02;21 Dec 19:20;
Entertainment;0,8;21 Dec 13:53;21 Dec 14:39;
Read;0,2;21 Dec 13:39;21 Dec 13:53;
Read;0,3;21 Dec 13:19;21 Dec 13:35;
Sport;3,7;21 Dec 09:30;21 Dec 13:13;
Yoga;0,2;21 Dec 09:12;21 Dec 09:25;
Yoga;0,2;20 Dec 15:38;20 Dec 15:48;
Housework;1,2;20 Dec 14:23;20 Dec 15:32;
Entertainment;0,6;20 Dec 13:46;20 Dec 14:23;
Housework;0,4;20 Dec 13:20;20 Dec 13:46;
Sport;2,4;20 Dec 10:24;20 Dec 12:46;
Housework;0,1;20 Dec 10:16;20 Dec 10:24;
Yoga;0,3;20 Dec 09:15;20 Dec 09:35;
Read;0,6;20 Dec 08:36;20 Dec 09:11;
Entertainment;0,1;19 Dec 20:30;19 Dec 20:38;
Coding;0,3;19 Dec 20:02;19 Dec 20:18;
Entertainment;0,1;19 Dec 19:58;19 Dec 20:02;
Read;0,1;19 Dec 19:54;19 Dec 19:58;
Entertainment;0,2;19 Dec 17:28;19 Dec 17:41;
Coding;0,3;19 Dec 17:12;19 Dec 17:28;
Entertainment;0,0;19 Dec 17:11;19 Dec 17:12;
